,0,1,2,3,4,5,6,7
350,2019.0,9.0,28.0,21.0,45.0,13.66111111,6.6,6.8
351,2019.0,4.0,9.0,17.0,45.0,4.661111111,0.0,0.0
352,2019.0,1.0,27.0,14.0,45.0,3.4444444439999997,17.2,15.3
353,2019.0,3.0,23.0,23.0,45.0,5.172222222,8.5,7.8
354,2019.0,2.0,25.0,1.0,15.0,4.444444444,12.1,11.9
355,2019.0,7.0,27.0,4.0,15.0,18.97222222,23.3,23.2
356,2019.0,8.0,3.0,0.0,30.0,18.27222222,25.2,21.7
357,2019.0,6.0,1.0,12.0,45.0,15.89444444,11.3,8.2
358,2019.0,10.0,15.0,18.0,0.0,13.98333333,11.3,10.3
359,2019.0,8.0,25.0,17.0,15.0,22.48888889,12.5,16.0
360,2019.0,9.0,9.0,16.0,30.0,15.39444444,3.3,5.1
361,2018.0,12.0,28.0,19.0,45.0,5.916666667,10.2,9.7
362,2019.0,3.0,12.0,10.0,15.0,4.366666667,16.9,18.3
363,2018.0,12.0,22.0,8.0,15.0,3.0111111110000004,9.3,16.8
364,2019.0,11.0,11.0,6.0,15.0,7.055555556,10.5,10.7
365,2019.0,2.0,16.0,22.0,30.0,4.844444444,8.9,8.7
366,2019.0,11.0,7.0,11.0,45.0,6.594444444,5.0,3.4
367,2019.0,9.0,14.0,3.0,30.0,13.23888889,7.2,7.2
368,2019.0,2.0,7.0,23.0,45.0,4.3888888889999995,10.8,10.1
369,2019.0,6.0,7.0,8.0,15.0,13.95,7.3,13.8
370,2019.0,4.0,17.0,5.0,15.0,5.838888889,0.0,0.0
371,2019.0,8.0,15.0,5.0,30.0,16.05555556,9.3,11.1
372,2019.0,6.0,28.0,13.0,0.0,18.61111111,24.1,10.8
373,2019.0,4.0,15.0,7.0,15.0,3.688888889,0.0,0.0
